Content Category Type,Content Category,title,content file type,Lesson/ Chapter,description,thumb Image file name (must be unique) (with extension),content file name (must be unique) (with extension),is Published,view order,Tag 1,Tag 2,Tag 3,Tag 4
Class Two,Math (Class Two),জ্যামিতিক আকৃতি ,VIDEO,অধ্যায়-১০ জ্যামিতিক আকৃতি ,"২৭.২.১ - চতুর্ভুজ , ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো শনাক্ত করতে পারবে । ২৭.২.২ - চতুর্ভুজ , ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো ব্যবহার করে ছবি আঁকতে পারবে ।",Class 2 Math 47.jpg,Ep_47_Class_2_Lesson_10_জ্যামিতিক আকৃতি.mp4,Yes,547,Math (Class Two),গণিত (দ্বিতীয় শ্রেণি),Geometrical Shapes,জ্যামিতিক আকৃতি 
Class Two,Math (Class Two),তরলের আয়তন ,VIDEO,অধ্যায়-০৯.৩ তরলের আয়তন ,"২৪.৩.১ তরল পদার্থের আয়তন পরিমাপের    একক লিটার, তা বলতে পারবে ।",Class 2 Math 48.jpg,Ep_48_Class_2_Lesson_10_নিজে করি (যোগ ও বিয়োগ).mp4,Yes,548,Math (Class Two),গণিত (দ্বিতীয় শ্রেণি),Volume of Liquid,তরল পদার্থের আয়তন পরিমাপ
Class Two,Math (Class Two),ভাগের হিসাব  ,VIDEO,অধ্যায়-০৬.৩ ভাগের হিসাব  ,১৩.২.১৪ গুণের নামতা ব্যবহার করে ভাগ করতে পারবে । ,Class 2 Math 49.jpg,Ep_49_Class_2_Lesson_10_জ্যামিতিক আকৃতি.mp4,Yes,549,Math (Class Two),গণিত (দ্বিতীয় শ্রেণি),Calculation of Division,ভাগের হিসাব  
Class Two,Math_Class 2 ,01_math_class 2_স্থানীয় মান_episode 1,VIDEO,অধ্যায়-০১.১ স্থানীয় মান, 51 থেকে ১০০ পর্যন্ত উপকরণ দশের গুচ্ছ করে গণনা করতে ও বলতে পারবে। ,math_ class 2_স্থানীয় মান.png,Class_2_Math_স্থানীয় মান.mp4,Yes,550,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Numbers ,সংখ্যা
Class Two,Math_Class 2 ,02_math_class 2_সংখ্যার তুলনা_episode 2,VIDEO,অধ্যায়-০১.২ সংখ্যার তুলনা ,২০ থেকে ১০০ পর্যন্ত সংখ্যাগুলর মধ্যে যে- কোন দুইটি সংখ্যা তুলনা করে ছোট বড় বলতে ও লিখতে পারবে। ,math_ class 2_ সংখ্যার তুলনা .png,Class_2_Math_ সংখ্যার তুলনা.mp4,Yes,551,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Comparison Of Numbers,সংখ্যার তুলনা 
Class Two,Math_Class 2 ,03_math_class 2_সংখ্যা (৫১-১০০)_episode 3,VIDEO,অধ্যায়-০১.৩ সংখ্যা ( ৫১-১০০) ,৫১ থেকে ১০০ পর্যন্ত যেকোন সংখ্যক উপকরণগুচ্ছের দলগত ধারণাকে সংখ্যা দ্বারা প্রকাশ করতে পারবে। ,math_ class 2_ সংখ্যা ( ৫১-১০০).png,Class_2_Math_সংখ্যা ( ৫১-১০০).mp4,Yes,552,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Numbers(51 to 100),সংখ্যা ( ৫১ থেকে ১০০ )
Class Two,Math_Class 2 ,04_math_class 2_সংখ্যা_episode 4,VIDEO,অধ্যায়-০১.৫ নানাবিধ উপায়ে সংখ্যা গণনা ,জোড় ও বিজোড় সংখ্যা শনাক্ত করতে ও লিখতে পারবে। ,math_ class 2_ নানাবিধ উপায়ে সংখ্যা গণনা.png,Class_2_Math_ নানাবিধ উপায়ে সংখ্যা গণনা.mp4,Yes,553,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Numbers ,সংখ্যা
Class Two,Math_Class 2 ,05_math_class 2_যোগ_episode 5,VIDEO,অধ্যায়-০২ হাতে না রেখে/ রেখে ও শূন্য ব্যতীত যোগ,"দুই দুই, তিন তিন, চার চার, পাঁচ পাঁচ ও দশ দশ করে সংখ্যা গণনা করতে পারবে।",math_ class 2_শূন্য ব্যতীত যোগ.png,Class_2_Math_হাতে না রেখে/ রেখে ও শূন্য ব্যতীত যোগ.mp4,Yes,554,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Numbers ,সংখ্যা
Class Two,Math_Class 2 ,06_math_class 2_যোগ_episode 1,VIDEO,"অধ্যায়-০২ হাতে না রেখে/ রেখে ও  এককের ঘরে ""০"" সহকারে যোগ",হাতে না রেখে দুই অঙ্ক বিশিষ্ট সংখ্যা উপরে-নিচে ও পাশাপাশি যোগ করতে পারবে।  ,"math_ class 2_এককের ঘরে ""০"" সহকারে যোগ.png","Class_2_Math_হাতে না রেখে/ রেখে ও  এককের ঘরে ""০"" সহকারে.mp4",Yes,555,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Addition: 2 Digit Numbers,যোগঃ দুই অঙ্কের সংখ্যা 
Class Two,Math_Class 2 ,07_math_class 2_যোগ_episode 2,VIDEO,অধ্যায়-০২ দুই অংকের সংখ্যার সাথে এক অংকের সংখ্যা যোগ/ এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ,হাতে রেখে দুই অঙ্ক বিশিষ্ট সংখ্যা উপরে- নিচে ও পাশাপাশি যোগ করতে পারবে।,math_ class 2_পাশাপাশি যোগ .png,Class_2_Math_দুই অংকের সংখ্যার সাথে এক অংকের সংখ্যা যোগ/ এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ.mp4,Yes,556,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Addition: 2 Digit Numbers,যোগঃ দুই অঙ্কের সংখ্যা 
Class Two,Math_Class 2 ,08_math_class 2_বিয়োগ_episode 3,VIDEO,অধ্যায়-০৩ হাতে না রেখে বিয়োগ ,হাতে না রেখে বিয়োগ ,math_ class 2_হাতে না রেখে বিয়োগ.png,Class_2_Math_হাতে না রেখে বিয়োগ.mp4,Yes,557,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Subtraction: 2 Digit Numbers,বিয়োগ ২ অঙ্কের সংখ্যা 
Class Two,Math_Class 2 ,09_math_class 2_বিয়োগ_episode 1,VIDEO,অধ্যায়-০৩ হাতে রেখে বিয়োগ ,হাতে না রেখে দুই অঙ্কের সংখ্যা থেকে অনুর্ধ্ব দুই অঙ্কের সংখ্যার উপরে- নিচে ও পাশাপাশি বিয়োগ করতে পারবে।,math_ class 2_হাতে রেখে বিয়োগ .png,Class_2_Math_হাতে রেখে বিয়োগ.mp4,Yes,558,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Subtraction: 2 Digit Numbers,বিয়োগ ২ অঙ্কের সংখ্যা 
Class Two,Math_Class 2 ,10_math_class 2_যোগ বিয়োগের সম্পর্ক_episode 2,VIDEO,অধ্যায়-০৪ যোগ বিয়োগের সম্পর্ক ,হাতে রেখে দুই অঙ্কের সংখ্যা থেকে অনুর্ধ্ব দুই অঙ্কের সংখ্যার উপরে- নিচে ও পাশাপাশি বিয়োগ করতে পারবে।,math_ class 2_যোগ বিয়োগের সম্পর্ক.png,Class_2_Math_যোগ বিয়োগের সম্পর্ক.mp4,Yes,559,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Relation Of addition and subtraction,যোগ বিয়োগের সম্পর্ক 
Class Two,Math_Class 2 ,11_math_class 2_গুণের ধারণা_episode 1,VIDEO,অধ্যায়-০৫ গুণের ধারণা,ছবি বা কথায় বর্ণিত তথ্যের গাণিতিক রুপ দিতে পারবে।,math_ class 2_গুণের ধারণা.png,Class_2_Math_গুণের ধারণা.mp4,Yes,560,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Concept Of Multiplication,গুণের ধারণা 
Class Two,Math_Class 2 ,12_math_class 2_শুণ্য এর গুণ_episode 1,VIDEO,"অধ্যায়-০৫.৬ ""০"" এর গুণ ",শূন্য দ্বারা কোনো সংখ্যাকে গুণ করতে বা শূন্যকে কোনো সংখ্যা দ্বারা গুণ করতে পারবে  ,"math_ class 2_""শুণ্য"" এর গুণ .png","Class_2_Math_""০"" এর গুণ.mp4",Yes,561,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Mutiplications of 0,০ এর গুণ 
Class Two,Math_Class 2 ,13_math_class 2_উপকরণ ব্যবহার করে গুণ_episode 2,VIDEO,অধ্যায়-০৬.১ প্রত্যেকে কয়টি করে পাবে ,উপকরণ ব্যবহার করে গুণ করতে পারবে। ,math_ class 2_উপকরণ ব্যবহার করে গুণ.png,Class_2_Math_ উপকরণ ব্যবহার করে গুণ করতে পারবে.mp4,Yes,562,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Mutiplications by 0, শূণ্য দ্বারা গুণ
Class Two,Math_Class 2 ,14_math_class 2 _ভাগ_episode 1  ,VIDEO,অধ্যায়-০৬ ভাগ,উপকরণ ব্যবহার করে ভাগ করতে পারবে। ,math_ class 2_ভাগের হিসাব.png ,Class_2_Math_ভাগের হিসাব.mp4,Yes,563,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Calculation of Division,ভাগের হিসাব 
Class Two,Math_Class 2 ,15_math_class 2 _গুণের নামতা ব্যবহার করে ভাগ _episode 2,VIDEO,অধ্যায়-০৬ ভাগ,গুণের নামতা ব্যবহার করে ভাগ করতে পারবে ,math_ class 2_গুণের নামতা ব্যবহার করে ভাগ.png,Class_2_Math_গুণের নামতা ব্যবহার করে ভাগ.mp4,Yes,564,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Bangladeshi Coins and Notes,বাংলাদেশি মুদ্রা ও নোট
Class Two,Math_Class 2 ,16_math_class 2_বাংলাদেশি মুদ্রা ও নোট_episode 1 ,VIDEO,অধ্যায়-০৭ বাংলাদেশি মুদ্রা ও নোট , ১০০ টাকা পর্যন্ত প্রচলিত নোট চিনে বলতে পারবে। ,math_ class 2_প্রচলিত মুদ্রা ও নোট.png,Class_2_Math_ ১০০ টাকা পর্যন্ত প্রচলিত নোট চিনে বলতে পারবে.mp4 ,Yes,565,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Bangladeshi Coins and Notes,বাংলাদেশি মুদ্রা ও নোট
Class Two,Math_Class 2 ,17_math_class 2_মুদ্রা ও নোট বিনিময়_episode 2,VIDEO,অধ্যায়-০৭ বাংলাদেশি মুদ্রা ও নোট , মুদ্রা ও নোট বিনিময় করতে পারবে। ,math_ class 2_মুদ্রা ও নোট বিনিময়.png,Class_2_Math_ মুদ্রা ও নোট বিনিময় করতে পারবে.mp4,Yes,566,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Exchange of currency and notes,মুদ্রা ও নোট বিনিময়
Class Two,Math_Class 2 ,18_math_class 2_ভগ্নাংশ_episode 1 ,VIDEO,অধ্যায়-০৮ ভগ্নাংশ ,পূর্ণ বস্তুর অর্ধেক চিনে বলতে পারবে।   ,math_ class 2_পূর্ণ বস্তুর অর্ধেক.png,Class_2_Math_পূর্ণ বস্তুর অর্ধেক চিনে বলতে পারবে.mp4,Yes,567,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Fractions,ভগ্নাংশ
Class Two,Math_Class 2 ,19_math_class 2_ভগ্নাংশ_episode 2,VIDEO,অধ্যায়-০৮ ভগ্নাংশ , কোনো বস্তুর চার ভাগের এক ভাগ চিনে বলতে পারবে। ,math_ class 2_বস্তুর চার ভাগের এক ভাগ.png,Class_2_Math_কোনো বস্তুর চার ভাগের এক ভাগ চিনে বলতে পারবে.mp4,Yes,568,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Fractions,ভগ্নাংশ
Class Two,Math_Class 2 ,20_math_class 2_ভগ্নাংশ_episode 3,VIDEO,অধ্যায়-০৮ ভগ্নাংশ ,"অর্ধেককে ১/২ , চার ভাগের এক ভাগকে 1/4 বলে তা চিনে বলতে পারবে।","math_ class 2_অর্ধেককে ১/২ , চার ভাগের এক ভাগকে ১/৪ বলতে পারবে.png","Class_2_Math_অর্ধেককে ১/২ , চার ভাগের এক ভাগকে ১/৪ বলতে পারবে.mp4",Yes,569,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Fractions,ভগ্নাংশ
Class Two,Math_Class 2 ,21_math_class 2_ভগ্নাংশ_episode 4,VIDEO,অধ্যায়-০৮ ভগ্নাংশ ," 1/2 এবং ১/৪ পড়তে, লিখতে ও তুলনা করতে পারবে।","math_ class 2_অর্ধেককে ১/২ , চার ভাগের এক ভাগকে ১/৪ লিখতে পারবে.png","Class_2_Math_অর্ধেককে ১/২ , চার ভাগের এক ভাগকে ১/৪ লিখতে পারবে.mp4",Yes,570,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Fractions,ভগ্নাংশ
Class Two,Math_Class 2 ,22_math_class 2_পরিমাপ_episode_1,VIDEO,অধ্যায়-০৯ দৈর্ঘ্য পরিমাপ , বিভিন্ন বস্তুর দৈর্ঘ্য উপকরণ দিয়ে মেপে তুলনা করতে পারবে। ২৪.১.২ দৈর্ঘ্য পরিমাপের একক যে মিটার ও সেন্টিমিটার তা বলতে পারবে।,math_ class 2_দৈর্ঘ্য পরিমাপ.png,Class_2_Math_দৈর্ঘ্য পরিমাপ.mp4,Yes,571,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Length,পরিমাপ ( দৈর্ঘ্য )
Class Two,Math_Class 2 ,23_math_class 2_পরিমাপ_episode_2,VIDEO, অধ্যায়-০৯ ওজন পরিমাপ , বিভিন্ন বস্তুর ওজন দাঁড়িপাল্লা দিয়ে মেপে তুলনা করতে পারবে। ২৪।২।২ ওজন পরিমাপের একক গ্রাম ও কিলোগ্রাম তা বলতে পারবে। ২৪.২.৩ ওজন পরিমাপের বাটখারাগুলো চিনে বলতে পারবে।  ,math_ class 2_ওজন পরিমাপ.png,Class_2_Math_ওজন পরিমাপ.mp4,Yes,572,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Weight,পরিমাপ ( ওজন )
Class Two,Math_Class 2 ,24_math_class 2_পরিমাপ_episode_3,VIDEO,   অধ্যায়-০৯.৩ তরলের আয়তন,"তরল পদার্থের আয়তন পরিমাপের একক লিটার, তা বলতে পারবে।",math_ class 2_তরলের আয়তন.png,Class_2_Math_তরলের আয়তন.mp4,Yes,573,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Volume of Liquid,তরলের আয়তন 
Class Two,Math_Class 2 ,"25_math_class 2_দিন ও সপ্তাহ, বর্ষপঞ্জি_episode 1",VIDEO,"       অধ্যায়-০৯.৪ দিন ও সপ্তাহ, মাসের নাম, সময়",সময় পরিমাপের একক বলতে পারবে। ,math_ class 2_সময়ের একক.png,"Class_2_Math_দিন ও সপ্তাহ, মাসের নাম, সময়.mp4",Yes,574,Math_Class 2 ,গণিত_২য় শ্রেণি  ,"Days and Week, Calendar","দিন, সপ্তাহ, বর্ষপঞ্জি "
Class Two,Math_Class 2 ,"26_math_class 2_দিন ও সপ্তাহ, বর্ষপঞ্জি_episode 2",VIDEO,অধ্যায়-০৯.৫ , সময় পরিমাপের এককের মধ্যে সম্পর্ক নির্ণয় করতে পারবে। ,math_ class 2_সময়ের একক ও পরিমাপ.png,Class_2_Math_ সময় পরিমাপের এককের মধ্যে সম্পর্ক নির্ণয় করতে পারবে.mp4,Yes,575,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Unit of Time,সময়ের একক
Class Two,Math_Class 2 ,27_math_class 2_জ্যামিতিক আকৃতি_episode 1,VIDEO,অধ্যায়-১০ জ্যামিতিক আকৃতি ," চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো শনাক্ত করতে পারবে।",math_ class 2_জ্যামিতিক আকৃতিগুলো শনাক্ত.png,"Class_2_Math_চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো শনাক্ত করতে পারবে.mp4",Yes,576,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Geometrical Shapes,জ্যামিতিক আকৃতি
Class Two,Math_Class 2 ,28_math_class 2_জ্যামিতিক আকৃতি_episode 2,VIDEO,অধ্যায়-১০ জ্যামিতিক আকৃতি ," চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো ব্যবহার করে ছবি আঁকতে পারবে।",math_ class 2_ জ্যামিতিক আকৃতি আঁকতে পারা.png,"Class_2_Math_ চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো ব্যবহার করে ছবি আঁকতে পারবে.mp4",Yes,577,Math_Class 2 ,গণিত_২য় শ্রেণি  ,Geometrical Shapes,জ্যামিতিক আকৃতি
Class Two,Math (Class Two)_Radio,১.১ স্থানীয় মান,AUDIO,সংখ্যা,2.1.2 51 থেকে ১০০ পর্যন্ত উপকরণ দশের গুচ্ছ করে গণনা করতে ও বলতে পারবে। ,Math_Grade 2_EP 1_স্থানীয় মান.jpg,Math_Grade 2_EP 1_স্থানীয় মান.mp3,Yes,578,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Number,সংখ্যা
Class Two,Math (Class Two)_Radio,১.২ সংখ্যার তুলনা ,AUDIO,সংখ্যা,৭.১.১ ২০ থেকে ১০০ পর্যন্ত সংখ্যাগুলর মধ্যে যে- কোন দুইটি সংখ্যা তুলনা করে ছোট বড় বলতে ও লিখতে পারবে। ,Math_Grade 2_EP 2_সংখ্যার তুলনা.jpg,Math_Grade 2_EP 2_সংখ্যার তুলনা.mp3,Yes,579,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Number,সংখ্যা
Class Two,Math (Class Two)_Radio,১.৩ সংখ্যা ( ৫১-১০০) ,AUDIO,সংখ্যা,৩.১.১ ৫১ থেকে ১০০ পর্যন্ত যেকোন সংখ্যক উপকরণগুচ্ছের দলগত ধারণাকে সংখ্যা দ্বারা প্রকাশ করতে পারবে। ,Math_Grade 2_EP 3_সংখ্যা ( ৫১-১০০).jpg,Math_Grade 2_EP 3_সংখ্যা ( ৫১-১০০).mp3,Yes,580,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Number,সংখ্যা
Class Two,Math (Class Two)_Radio,১.৪ জোড় ও বিজোড় সংখ্যা ,AUDIO,সংখ্যা,৩.৫.১ জোড় ও বিজোড় সংখ্যা শনাক্ত করতে ও লিখতে পারবে। ,Math_Grade 2_EP 4_ জোড় ও বিজোড় সংখ্যা.jpg,Math_Grade 2_EP 4_ জোড় ও বিজোড় সংখ্যা.mp3,Yes,581,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Number,সংখ্যা
Class Two,Math (Class Two)_Radio,১.৫ নানাবিধ উপায়ে সংখ্যা গণনা ,AUDIO,সংখ্যা,"৩.৪.১ দুই দুই, তিন তিন, চার চার, পাঁচ পাঁচ ও দশ দশ করে সংখ্যা গণনা করতে পারবে।",Math_Grade 2_EP 5_ নানাবিধ উপায়ে সংখ্যা গণনা.jpg,Math_Grade 2_EP 5_ নানাবিধ উপায়ে সংখ্যা গণনা.mp3,Yes,582,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Number,সংখ্যা
Class Two,Math (Class Two)_Radio,হাতে না রেখে/ রেখে ও শূন্য ব্যতীত যোগ,AUDIO,যোগ ,৯.২.১ হাতে না রেখে দুইঅঙ্ক বিশিষ্ট সংখ্যা উপরে-নিচে ও পাশাপাশি যোগ করতে পারবে(যোগফল অনূর্ধ্ব ১০০)। ,Math_Grade 2_EP 6_শূন্য ব্যতীত যোগ.jpg,Math_Grade 2_EP 6_শূন্য ব্যতীত যোগ.mp3,Yes,583,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Addition,যোগ 
Class Two,Math (Class Two)_Radio,হাতে না রেখে/ রেখে ও শূন্য ব্যতীত যোগ,AUDIO,যোগ ,৯.২.২ হাতে রেখে দুই অঙ্ক বিশিষ্ট সংখ্যা উপরে- নিচে ও পাশাপাশি যোগ করতে পারবে(যোগফল অনূর্ধ্ব ১০০। ,Math_Grade 2_EP 7_শূন্য ব্যতীত যোগ.jpg,Math_Grade 2_EP 7_শূন্য ব্যতীত যোগ.mp3,Yes,584,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Addition,যোগ 
Class Two,Math (Class Two)_Radio,"হাতে না রেখে/ রেখে ও  এককের ঘরে ""০"" সহকারে",AUDIO,যোগ ,,Math_Grade 2_EP 8_শূন্য সহকারে যোগ.jpg,Math_Grade 2_EP 8_শূন্য সহকারে যোগ.mp3,Yes,585,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Addition,যোগ 
Class Two,Math (Class Two)_Radio,দুই অংকের সংখ্যার সাথে এক অংকের সংখ্যা যোগ/ এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ,AUDIO,যোগ ,৯.২.১ হাতে না রেখে দুই অঙ্ক বিশিষ্ট সংখ্যা উপরে-নিচে ও পাশাপাশি যোগ করতে পারবে। ৯.২.২ হাতে রেখে দুই অঙ্ক বিশিষ্ট সংখ্যা উপরে- নিচে ও পাশাপাশি যোগ করতে পারবে। ,Math_Grade 2_EP 9_এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ.jpg,Math_Grade 2_EP 9_এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ.mp3,Yes,586,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Addition,যোগ 
Class Two,Math (Class Two)_Radio,হাতে না রেখে বিয়োগ ,AUDIO,বিয়োগ ,১০.২.১ হাতে না রেখে দুই অঙ্কের সংখ্যা থেকে  অনূর্ধ্ব দুই অঙ্কের সংখ্যার উপরে- নিচে ও পাশাপাশি বিয়োগ করতে পারবে।,Math_Grade 2_EP 10_হাতে না রেখে বিয়োগ.jpg,Math_Grade 2_EP 10_হাতে না রেখে বিয়োগ.mp3,Yes,587,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Subtraction,বিয়োগ 
Class Two,Math (Class Two)_Radio,হাতে রেখে বিয়োগ ,AUDIO,বিয়োগ ,১০.২.২ হাতে রেখে দুই অঙ্কের সংখ্যা থেকে  অনূর্ধ্ব দুই অঙ্কের সংখ্যার উপরে- নিচে ও পাশাপাশি বিয়োগ করতে পারবে।,Math_Grade 2_EP 11_হাতে রেখে বিয়োগ.jpg,Math_Grade 2_EP 11_হাতে রেখে বিয়োগ.mp3,Yes,588,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Subtraction,বিয়োগ 
Class Two,Math (Class Two)_Radio,যোগ বিয়োগের সম্পর্ক ,AUDIO,যোগ বিয়োগের সম্পর্ক ,১১.১.১ ছবি বা কথায় বর্ণিত তথ্যের গাণিতিক রুপ দিতে পারবে।,Math_Grade 2_EP 12_যোগ বিয়োগের সম্পর্ক.jpg,Math_Grade 2_EP 12_যোগ বিয়োগের সম্পর্ক.mp3,Yes,589,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Relation of addition and subtraction,যোগ বিয়োগের সম্পর্ক 
Class Two,Math (Class Two)_Radio,গুণের ধারণা,AUDIO,গুণের ধারণা,১২.১ উপকরণ ব্যবহার করে গুণ করতে পারবে। ,Math_Grade 2_EP 13_গুণের ধারণা.jpg,Math_Grade 2_EP 13_গুণের ধারণা.mp3,Yes,590,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Concept Of Multiplication_2,Concept Of Multiplication_2
Class Two,Math (Class Two)_Radio,"""০"" এর গুণ ",AUDIO,গুণের ধারণা,১২.৪ শূন্য দ্বারা কোনো সংখ্যাকে গুণ করতে বা শূন্যকে কোনো সংখ্যা দ্বারা গুণ করতে পারবে ,"Math_Grade 2_EP 14_""০"" এর গুণ.jpg","Math_Grade 2_EP 14_""০"" এর গুণ.mp3",Yes,591,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Concept Of Multiplication_2,Concept Of Multiplication_2
Class Two,Math (Class Two)_Radio,প্রত্যেকে কয়টি করে পাবে ,AUDIO,ভাগ ,১৩.১.১ উপকরণ ব্যবহার করে ভাগ করতে পারবে। ,Math_Grade 2_EP 15_প্রত্যেকে কয়টি করে পাবে.jpg,Math_Grade 2_EP 15_প্রত্যেকে কয়টি করে পাবে.mp3,Yes,592,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Division,ভাগ 
Class Two,Math (Class Two)_Radio,ভাগের হিসাব ,AUDIO,ভাগ ,১৩.২.১ গুণের নামতা ব্যবহার করে ভাগ করতে পারবে ,Math_Grade 2_EP 16_ভাগের হিসাব .jpg,Math_Grade 2_EP 16_ভাগের হিসাব .mp3,Yes,593,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Division,ভাগ 
Class Two,Math (Class Two)_Radio,বাংলাদেশি মুদ্রা ও নোট ,AUDIO,বাংলাদেশি মুদ্রা ও নোট ,১৫.১.১ ১০০ টাকা পর্যন্ত প্রচলিত নোট চিনে বলতে পারবে। ,Math_Grade 2_EP 17_বাংলাদেশি মুদ্রা ও নোট.jpg,Math_Grade 2_EP 17_বাংলাদেশি মুদ্রা ও নোট.mp3,Yes,594,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Bangladeshi Notes and coins,বাংলাদেশি মুদ্রা ও নোট 
Class Two,Math (Class Two)_Radio,বাংলাদেশি মুদ্রা ও নোট ,AUDIO,বাংলাদেশি মুদ্রা ও নোট ,১৫.১.২ মুদ্রা ও নোট বিনিময় করতে পারবে। ,Math_Grade 2_EP 18_বাংলাদেশি মুদ্রা ও নোট.jpg,Math_Grade 2_EP 18_বাংলাদেশি মুদ্রা ও নোট.mp3,Yes,595,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Bangladeshi Notes and coins,বাংলাদেশি মুদ্রা ও নোট 
Class Two,Math (Class Two)_Radio,ভগ্নাংশ ,AUDIO,ভগ্নাংশ ,১৯.১.১ পূর্ণ বস্তুর অর্ধেক চিনে বলতে পারবে। ,Math_Grade 2_EP 19_ভগ্নাংশ .jpg,Math_Grade 2_EP 19_ভগ্নাংশ .mp3,Yes,596,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Fractions,ভগ্নাংশ 
Class Two,Math (Class Two)_Radio,ভগ্নাংশ ,AUDIO,ভগ্নাংশ ,১৯.২.১ কোনো বস্তুর চার ভাগের এক ভাগ চিনে বলতে পারবে।,Math_Grade 2_EP 20_ভগ্নাংশ .jpg,Math_Grade 2_EP 20_ভগ্নাংশ .mp3,Yes,597,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Fractions,ভগ্নাংশ 
Class Two,Math (Class Two)_Radio,ভগ্নাংশ ,AUDIO,ভগ্নাংশ ,"১৯.২.২ অর্ধেককে ১/২ , চার ভাগের এক ভাগকে 1/4 বলে তা চিনে বলতে পারবে। ",Math_Grade 2_EP 21_ভগ্নাংশ .jpg,Math_Grade 2_EP 21_ভগ্নাংশ .mp3,Yes,598,Math (Class Two)_Radio,গণিত (দ্বিতীয় শ্রেণি)_রেডিও,Fractions,ভগ্নাংশ 
