File Name,Size (MB)
"Bangla_Class-5_কাঞ্চনমালা আর কাঁকনমালা _Episode-15.MP3",9.19
"Bangla_Class-5_কাঞ্চনমালা আর কাঁকনমালা _Episode-16.MP3",8.57
"Bangla_Class-5_দেখে এলাম নায়াগ্রা_Episode-25.mp3",6.65
"Bangla_Class-5_দেখে এলাম নায়াগ্রা_Episode-26.mp3",7.14
"Bangla_Class-5_দেখে এলাম নায়াগ্রা_Episode-27.mp3",6.90
"Bangla_Class-5_শহিদ তিতুমীর_Episode-28.mp3",8.87
"Bangla_Class-5_শহিদ তিতুমীর_Episode-29.mp3",6.92
"Bangla_Class-5_শহিদ তিতুমীর_Episode-30.mp3",7.92
"Bangla_Class-5_শিক্ষাগুরুর মর্যাদা_Episode-22.MP3",6.96
"Bangla_Class-5_শিক্ষাগুরুর মর্যাদা_Episode-23.MP3",7.18
"Bangla_Class-5_শিক্ষাগুরুর মর্যাদা_Episode-24.MP3",8.16
"Bangla_Class-5_সুন্দরবনের প্রাণী_Episode-04.Mp3",7.47
"Bangla_Class-5_সুন্দরবনের প্রাণী_Episode-05.Mp3",6.05
"Bangla_Class-5_সুন্দরবনের প্রাণী_Episode-06.Mp3",7.80
"Bangla_Class-5_হাতি আর শিয়ালের গল্প_Episode-07.mp3",6.95
"Bangla_Class-5_হাতি আর শিয়ালের গল্প_Episode-08.mp3",7.29
"Class 3_Math_বৃত্ত.mp4",44.36
"Class-2 Bangla-Lesson 1- আমার পরিচয়.mp4",186.50
"Class-2 Bangla-Lesson 10-দাদির হাতের মজার পিঠা.mp4",515.83
"Class-2 Bangla-Lesson 11- ট্রেন.mp4",575.67
"Class-2 Bangla-Lesson 12- দুখুর ছেলে বেলা.mp4",393.63
"Class-2 Bangla-Lesson 13- প্রার্থনা.mp4",325.08
"Class-2 Bangla-Lesson 14- খামার বাড়ির পশুপাখি.mp4",442.89
"Class-2 Bangla-Lesson 15- ছয় ঋতুর দেশ.mp4",1245.78
"Class-2 Bangla-Lesson 16 মুক্তিযুদ্ধের সোনালি পাতা.mp4",949.70
"Class-2 Bangla-Lesson 2 -পাঠ থেকে জেনে নেই.mp4",381.72
"Class-2 Bangla-Lesson 3-ছবির বনঃ সুন্দরবন.mp4",766.35
"Class-2 Bangla-Lesson 4-আমাদের দেশ.mp4",422.89
"Class-2 Bangla-Lesson 5- শীতের সকাল.mp4",355.24
"Class-2 Bangla-Lesson 6- আমি হব.mp4",432.34
"Class-2 Bangla-Lesson 7- জলপরি ও কাঠুরে.mp4",626.87
"Class-2 Bangla-Lesson 8- নানা রঙের ফুলফল.mp4",349.13
"Class-2 Bangla-Lesson 9- আমাদের ছোট নদী.mp4",291.44
"Class-2 Bangla-Lesson-17 কাজের আনন্দ.mp4",378.05
"Class-2 Bangla-Lesson-18 সবাই মিলে করি কাজ.mp4",389.20
"Class-4 Bangla-Lesson 1-বাংলাদেশের প্রকৃতি.mp4",755.01
"Class-4 Bangla-Lesson 10- মোবাইল ফোন.mp4",318.06
"Class-4 Bangla-Lesson 11-আবোল তাবোল.mp4",342.27
"Class-4 Bangla-Lesson 12- হাত ধুয়ে নাও.mp4",249.29
"Class-4 Bangla-Lesson 13- মোদের বাংলা ভাষা.mp4",287.06
"Class-4 Bangla-Lesson 14- বাওয়ালিদের গল্প.mp4",649.39
"Class-4 Bangla-Lesson 15- পাখির জগৎ.mp4",571.34
"Class-4 Bangla-Lesson 16- কাজলা দিদি.mp4",429.25
"Class-4 Bangla-Lesson 17- পাঠান মুলুকে.mp4",591.21
"Class-4 Bangla-Lesson 18- মা.mp4",349.02
"Class-4 Bangla-Lesson 19- ঘুরে আসি সোনারগাঁও.mp4",716.45
"Class-4 Bangla-Lesson 2-পালকির গান.mp4",353.62
"Class-4 Bangla-Lesson 20- বীরপুরুষ.mp4",306.58
"Class-4 Bangla-Lesson 21- পাহাড়পুর.mp4",628.52
"Class-4 Bangla-Lesson 22- লিপির গল্প.mp4",850.11
"Class-4 Bangla-Lesson 23- খলিফা হযরত উমর (রা).mp4",433.78
"Class-4 Bangla-Lesson 3- বড় রাজা ছোট রাজা.mp4",833.21
"Class-4 Bangla-Lesson 4-বাংলার খোকা.mp4",782.99
"Class-4 Bangla-Lesson 5-মুক্তির ছড়া.mp4",391.98
"Class-4 Bangla-Lesson 6- আজকে আমার ছুটি চাই.mp4",500.99
"Class-4 Bangla-Lesson 7- বীরশ্রেষ্ঠের বীরগাথা.mp4",614.60
"Class-4 Bangla-Lesson 8-মহীয়সী রো.mp4",446.61
"Class-4 Bangla-Lesson 9- নেমন্তন্ন.mp4",229.56
"Class_2_Math_ উপকরণ ব্যবহার করে গুণ করতে পারবে.mp4",411.70
"Class_2_Math_ চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো ব্যবহার করে ছবি আঁকতে পারবে.mp4",378.37
"Class_2_Math_ নানাবিধ উপায়ে সংখ্যা গণনা.mp4",300.59
"Class_2_Math_ মুদ্রা ও নোট বিনিময় করতে পারবে.mp4",674.69
"Class_2_Math_ সংখ্যার তুলনা.mp4",350.48
"Class_2_Math_ সময় পরিমাপের এককের মধ্যে সম্পর্ক নির্ণয় করতে পারবে.mp4",356.30
"Class_2_Math_ ১০০ টাকা পর্যন্ত প্রচলিত নোট চিনে বলতে পারবে.mp4",611.39
"Class_2_Math_অর্ধেককে ১২ , চার ভাগের এক ভাগকে ১৪ বলতে পারবে.mp4",311.54
"Class_2_Math_অর্ধেককে ১২ , চার ভাগের এক ভাগকে ১৪ লিখতে পারবে.mp4",255.55
"Class_2_Math_ওজন পরিমাপ.mp4",358.76
"Class_2_Math_কোনো বস্তুর চার ভাগের এক ভাগ চিনে বলতে পারবে.mp4",186.15
"Class_2_Math_গুণের নামতা ব্যবহার করে ভাগ.mp4",368.69
"Class_2_Math_চতুর্ভুজ, ত্রিভুজ ও গোলাকার জ্যামিতিক আকৃতিগুলো শনাক্ত করতে পারবে.mp4",287.24
"Class_2_Math_তরলের আয়তন.mp4",304.02
"Class_2_Math_দিন ও সপ্তাহ, মাসের নাম, সময়.mp4",407.41
"Class_2_Math_দুই অংকের সংখ্যার সাথে এক অংকের সংখ্যা যোগ এক অংকের সংখ্যার সাথে দুই অংকের সংখ্যা যোগ.mp4",295.66
"Class_2_Math_দৈর্ঘ্য পরিমাপ.mp4",276.52
"Class_2_Math_পূর্ণ বস্তুর অর্ধেক চিনে বলতে পারবে.mp4",328.56
"Class_2_Math_ভাগের হিসাব.mp4",401.68
"Class_2_Math_যোগ বিয়োগের সম্পর্ক.mp4",335.93
"Class_2_Math_সংখ্যা ( ৫১-১০০).mp4",316.73
"Class_2_Math_স্থানীয় মান.mp4",214.22
"Class_2_Math_হাতে না রেখে বিয়োগ.mp4",360.08
"Class_2_Math_হাতে না রেখে রেখে ও  এককের ঘরে ০ সহকারে.mp4",421.99
"Class_2_Math_হাতে না রেখে রেখে ও শূন্য ব্যতীত যোগ.mp4",287.60
"Class_2_Math_হাতে রেখে বিয়োগ.mp4",314.92
"Class_2_Math_০ এর গুণ.mp4",356.56
"EP 01, Class 1, Bangla, Lesson 01.mp4",1383.90
"EP 01, Class 3, Bangla, Lesson 1.mp4",502.97
"EP 01, Class 4, Bangla, Lesson 1.mp4",689.06
"EP 01_Class 4_Math_পাঁচ অঙ্কের সংখ্যা.mp4",142.86
"EP 02, Class 3, Bangla, Lesson 2.mp4",419.43
"EP 02, Class 4, Bangla, Lesson 2.mp4",750.06
"EP 02_Class 4_Math_পাঁচ অঙ্ক বিশিষ্ট সংখ্যার বিয়োগ.mp4",126.41
"EP 03 ,Class 2, Bangla, Lesson 15.mp4",677.47
"EP 03, Class 3, Bangla, Lesson 03.mp4",336.55
"EP 03, Class 4, Bangla_Lesson 3.mp4",1035.98
"EP 03_Class 4_Math_যোগ ও বিয়োগের সর্ম্পক.mp4",80.90
"EP 04, Class 2, Bangla, Lesson 16.mp4",592.81
"EP 04, Class 3, Bangla, Lesson 04.mp4",731.54
"EP 04, Class 4, Bangla, Lesson 6.mp4",457.44
"EP 04_Class 4_Math_তিন এবং চার অঙ্কের সংখ্যার গুণ.mp4",271.25
"EP 05, Class 2, Bangla, Lesson 17.mp4",564.71
"EP 05, Class 3, Bangla, Lesson 05.mp4",554.66
"EP 05_Class 4_Math_তিন অঙ্কের সংখ্যাকে দুই অঙ্কের সংখ্যা দ্বারা ভাগ.mp4",192.57
"EP 06, Class 2, Bangla, Lesson 18.mp4",717.32
"EP 06, Class 3, Bangla, Lesson 06.mp4",248.06
"EP 06, Class 4, Bangla, Lesson 7.mp4",496.90
"EP 06_Class 4_Math_গাণিতিক বাক্য এবং হিসাবের ধারাবাহিকতা.mp4",281.36
"EP 07, Class 2, Bangla, Lesson 19.mp4",464.00
"EP 07, Class 3, Bangla, Lesson 07.mp4",257.68
"EP 07, Class 4, Bangla, Lesson 5.mp4",597.68
"EP 07_Class 4_Math_হিসাবের নিয়ম এবং ধারণা.mp4",68.75
"EP 08, Class 2, Bangla, Lesson 20.mp4",414.86
"EP 08, Class 3, Bangla, Lesson 08.mp4",439.53
"EP 08, Class 4, Bangla, Lesson 8.mp4",410.64
"EP 08_Class 4_Math_গাণিতিক বাক্য ”সঠিক” বা “ভুল”.mp4",268.59
"EP 08_English_Class-1_L4-7_Nashrha.mp4",1864.16
"EP 09, Class 2, Bangla, Lesson 22.mp4",397.63
"EP 09, Class 3, Bangla, Lesson 09.mp4",367.86
"EP 09, Class 4, Bangla, Lesson 10.mp4",398.83
"EP 09_Class 4_Math_খালিঘর সংবলিত গাণিতিকি বাক্য.mp4",195.52
"EP 1, Class 2, Bangla, Lesson 13.mp4",886.43
"EP 1, Class 4, English, U -1, L- 1-3, About me.mp4",617.95
"EP 1, Class 5, Bangla, Lesson 1.mp4",682.83
"EP 1, Class 5, English, U -1 L-1, Activity-A, , Hello!.mp4",426.95
"EP 1, Pre-Primary.mp4",484.29
"EP 10, Class 1, Bangla, Lesson 52.mp4",1522.06
"EP 10, Class 2, Bangla, Lesson 01.mp4",534.47
"EP 10, Class 3, Bangla, Lesson 10.mp4",389.82
"EP 10, Class 4, Bangla, Lesson 09.mp4",543.32
"EP 10, Class 4, English, U -6,  L-1-2, At the shop.mp4",503.22
"EP 10, Class 5,  English, U -2 L-7 (J, K ).mp4",599.49
"EP 10, Class 5, Bangla, Lesson 10.mp4",218.43
"EP 10, Pre-Primary.mp4",601.55
"EP 10_Class 4_Math_গুণিতক ও সাধারণ গুণনীয়ক.mp4",27.07
"EP 10_Class 5_Math_প্রকৃত ভগ্নাংশ.mp4",82.90
"EP 10_Eng_Grade_3_Unit_8_Lesson_1-2.mp4",284.74
"EP 10_Eng_Grade_5_Unit_3_Lesson_3-4 E.mp4",174.69
"EP 11, Class 2, Bangla, Lesson 02.mp4",430.14
"EP 11, Class 3, Bangla, Lesson 11.mp4",368.48
"EP 11, Class 4, Bangla, Lesson 11.mp4",389.10
"EP 11, Class 4, English, U -6,  L-3, Counting.mp4",417.98
"EP 11, Class 5, Bangla, Lesson 11.mp4",449.88
"EP 11, Class 5, English, Unit 03, Lesson 1-2, Saikat’s Family.mp4",1272.99
"EP 11, Pre-Primary.mp4",783.75
"EP 11_Class 4_Math_মৌলিক সংখ্যা.mp4",182.73
"EP 11_Class 5_Math_প্রকৃত ভগ্নাংশ.mp4",86.14
"EP 11_Eng_Grade_3_Unit_9_Lesson_1-6.mp4",371.61
"EP 11_Eng_Grade_5_Unit_4_Lesson_1-2 A.mp4",358.93
"EP 12, Class 1, Bangla, Lesson 1.mp4",487.71
"EP 12, Class 2, Bangla, Lesson 03.mp4",363.09
"EP 12, Class 3, Bangla, Lesson 13.mp4",430.56
"EP 12, Class 4, Bangla, Lesson 12.mp4",358.15
"EP 12, Class 4, English, Unit 7, Lesson (A & B), Making Requests.mp4",676.21
"EP 12, Class 5, English, Unit 03 , Lesson 1-2, Saikat’s Family.mp4",2813.95
"EP 12, Pre-Primary.mp4",829.15
"EP 12_Class 3 Math_১ - ২  দুই বা তিন অঙ্কের সংখ্যাকে এক অঙ্কের সংখ্যা দ্বারা ভাগ.mp4",205.93
"EP 12_Class 4_Math_1 এর চেয়ে ছোট, 1 এর সমান এবং 1 এর চেয়ে বড় ভগ্নাংশ.mp4",220.54
"EP 12_Class 5_Math_অপ্রকৃত ভগ্নাংশ.mp4",91.90
"EP 12_Eng_Grade_3_Unit_10_Lesson_1-2.mp4",431.09
"EP 12_Eng_Grade_5_Unit_4_Lesson_3-4 B.mp4",159.43
"EP 13, Class 2, Bangla, Lesson 04.mp4",328.77
"EP 13, Class 3, Bangla, Lesson 14.mp4",518.34
"EP 13, Class 4, Bangla, Lesson 11.mp4",389.10
"EP 13, Class 4, English, U -8,  L-1-2, Traffic lights.mp4",833.65
"EP 13, Class 5, Bangla, Lesson 13.mp4",422.60
"EP 13, Class 5, English, U-3 , L-3-4 ,  A-D,E ,Saikat’s Family.mp4",327.87
"EP 13, Pre-Primary.mp4",672.33
"EP 13_Class 4_Math_ভগ্নাংশের তুলনা.mp4",273.50
"EP 13_Class 5_Math_অপ্রকৃত ভগ্নাংশ.mp4",77.57
"EP 13_Eng_Grade_3_Unit_11_Lesson_1-6.mp4",399.71
"EP 13_Eng_Grade_5_Unit_4_Lesson_3-4 D.mp4",156.34
"EP 14, Claass 4, Bangla, Lesson 1.mp4",741.79
"EP 14, Class 2, Bangla, Lesson 05.mp4",714.99
"EP 14, Class 3, Bangla, Lesson  16.mp4",903.58
"EP 14, Class 4, English, U -8,  L-3-4, Numbers.mp4",689.40
"EP 14, Class 5, Bangla, Lesson 03.mp4",448.17
"EP 14, Class 5, English, U-3, L-3-4, Activity-F,G, Saikat’s Family.mp4",1323.52
"EP 14, Pre-Primary.mp4",658.58
"EP 14_Class 3 Math_বাংলাদেশী মুদ্রা ও নোট.mp4",195.51
"EP 14_Class 4_Math_সমতূল ভগ্নাংশ.mp4",283.43
"EP 14_Class 5_Math_ভগ্নাংশকে পূর্ণ সংখ্যা দ্বারা গুণ-১.mp4",73.97
"EP 14_Eng_Grade_3_Unit_12_Lesson_1-2.mp4",436.46
"EP 14_Eng_Grade_5_Unit_5_Lesson_1-2 A.mp4",160.84
"EP 15, Class 1, Bangla, Lesson 04.mp4",567.27
"EP 15, Class 2, Bangla, Lesson 06.mp4",607.99
"EP 15, Class 3, Bangla, Lesson  17.mp4",364.61
"EP 15, Class 4, Bangla, Lesson 2.mp4",729.24
"EP 15, Class 5, English, U -3 L-5-6, Activity-H,I, Saikat’s Family.mp4",468.91
"EP 15, Pre-Primary.mp4",1062.79
"EP 15_Class 3 Mathবাংলাদেশী মুদ্রা ও নোট.mp4",250.56
"EP 15_Class 4_Math_ভগ্নাংশের যোগ এবং বিয়োগ.mp4",310.09
"EP 15_Class 5_Math_ভগ্নাংশকে পূর্ণ সংখ্যা দ্বারা গুণ-২.mp4",89.87
"EP 15_Eng_Grade_13_Unit_13_Lesson_1-3.mp4",273.02
"EP 15_Eng_Grade_5_Unit_5_Lesson_1-2 B.mp4",137.35
"EP 16, Class 2, Bangla, Lesson 07.mp4",786.84
"EP 16, Class 3, Bangla, Lesson 19.mp4",449.10
"EP 16, Class 4, Bangla, Lesson 3.mp4",565.98
"EP 16, Class 4, English, U -10 L-1-2, Who’s first.mp4",903.61
"EP 16, Class 5, Bangla, Lesson 16.mp4",361.86
"EP 16, Class 5, English, U -3 L-5-6, Activity-J,K, Saikat’s Family.mp4",1243.85
"EP 16, Pre-Primary.mp4",735.57
"EP 16_Class 3 Math_ ভগ্নাংশ.mp4",121.71
"EP 16_Class 4_Math_দশমিক ভগ্নাংশ.mp4",265.42
"EP 16_Class 5_Math_প্রকৃত, অপ্রকৃত ও মিশ্র ভগ্নাংশকে পূর্ণ সংখ্যা দ্বারা ভাগ.mp4",86.92
"EP 16_Eng_Grade_3_Unit_13_Lesson_4-6.mp4",178.92
"EP 16_Eng_Grade_5_Unit_5_Lesson_1-2 EFG.mp4",153.07
"EP 17, Class 2, Bangla, Lesson 09.mp4",576.94
"EP 17, Class 3, Bangla, Lesson 11.mp4",319.67
"EP 17, Class 4, Bangla, Lesson 4.mp4",646.98
"EP 17, Class 4, English, U -11 L-1-2, Say it right!.mp4",699.16
"EP 17, Class 5, Bangla, Lesson 17.mp4",407.02
"EP 17, Class 5, English, Unit Five, Lesson 1-2(A,B), Days in a calendar.mp4",3464.98
"EP 17, Pre-Primary.mp4",1071.27
"EP 17_Class 3 Math_ ভগ্নাংশের লব ও হর সনাক্ত.mp4",119.82
"EP 17_Class 4_Math_দশমিক ভগ্নাংশের যোগ এবং বিয়োগ-1.mp4",262.33
"EP 17_Class 5_Math_ভগ্নাংশকে পূর্ণ সংখ্যা দ্বারা গুণ-১.mp4",80.10
"EP 17_Eng_Grade_3_Unit_14_Lesson_1-2.mp4",477.89
"EP 17_Eng_Grade_5_Unit_6_Lesson_1.mp4",25.49
"EP 18, Class 2, Bangla, Lesson 10.mp4",419.97
"EP 18, Class 3, Bangla, Lesson 12.mp4",350.66
"EP 18, Class 4, Bangla, Lesson 5.mp4",206.53
"EP 18, Class 4, English, U-12_L- 1-2(A,B,C), Days Of Weeks.mp4",1450.56
"EP 18, Class 5, Bangla, Lesson 02.mp4",333.55
"EP 18, Class 5, English, U -5 L-3-4, Activity-C,D,E, Days in a Calendar.mp4",658.99
"EP 18, Pre-Primary.mp4",836.97
"EP 18_Class 3 Math_দুইটি ভগ্নাংশ সমতুল কি না তা নির্ণয়.mp4",137.92
"EP 18_Class 4_Math_দৈঘ্য ও পরিসীমা.mp4",326.32
"EP 18_Class 5_Math_ভগ্নাংশের সাহায্যে ভাগ-১.mp4",83.28
"EP 18_Eng_Grade_3_Unit_15_Lesson_1-3.mp4",125.39
"EP 18_Eng_Grade_5_Unit_6_Lesson_2-3.mp4",348.14
"EP 19, Class 2, Bangla, Lesson 11.mp4",584.73
"EP 19, Class 3, Bangla, Lesson 13.mp4",270.45
"EP 19, Class 4, Bangla, Lesson 1.mp4.filepart",238.92
"EP 1_Class 3 Math_সংখ্যা গণনা.mp4",164.11
"EP 1_Class 5_Math_গুণ করার প্রক্রিয়া-২.mp4",106.26
"EP 1_Eng_Grade_3_Unit_1_Lesson_1-3.mp4",363.58
"EP 1_Eng_Grade_5_Unit_1_Lesson_1-3 ABC.mp4",449.00
"EP 2, Class 2, Bangla, Lesson 14.mp4",633.73
"EP 2, Class 4, English, U -1, L- 4-5, About me.mp4",378.43
"EP 2, Class 5, Bangla, Lesson 2.mp4",800.45
"EP 2, Class 5, English, Hello!, U-1, L- 2-3, Activity-B.mp4",798.59
"EP 2, Pre-Primary.mp4",487.25
"EP 20_Class 4_Math_তরল পদাথের আয়তন.mp4",276.62
"EP 20_Class 5_Math_পূর্ণ সংখ্যা দ্বারা গুণ-২.mp4",99.26
"EP 20_Eng_Grade_3_Unit_16_Lesson_1-2.mp4",466.15
"EP 20_Eng_Grade_5_Unit_7_Lesson_1-2 A.mp4",119.76
"EP 21, Class 2, Bangla, Lesson 02.mp4",561.41
"EP 21, Class 3, Bangla, Lesson 1.mp4",335.01
"EP 21, Class 4, Bangla, Lesson 1.mp4",312.63
"EP 21, Class 4, English, U -13 L-3-4, Telling the time.mp4",929.92
"EP 21, Class 5, Bangla, Lesson 2.mp4",428.74
"EP 21, Class 5, English, Unit 5, Lesson 8-9, Stressed syllables.mp4",618.07
"EP 21, Pre-Primary.mp4",888.73
"EP 21_Class 3 Math_দৈর্ঘ্য.mp4",93.77
"EP 21_Class 4_Math_ক্ষেত্রফল.mp4",93.99
"EP 21_Class 5_Math_পূর্ণ সংখ্যা দ্বারা ভাগ-২.mp4",76.79
"EP 21_Eng_Grade_3_Unit_18_Lesson_1-2.mp4",477.42
"EP 21_Eng_Grade_5_Unit_7_Lesson_1-2 B.mp4",131.11
"EP 22 Class 4, English, U -14 L-1-2, Mita’s day.mp4",1795.53
"EP 22, Class 2, Bangla, Lesson 03.mp4",594.02
"EP 22, Class 3, Bangla, Lesson 02.mp4",524.47
"EP 22, Class 4, Bangla, Lesson 2.mp4",434.67
"EP 22, Class 5, Bangla, Lesson 3.mp4",466.91
"EP 22, Class 5, English, U -6 L-1, Activity-A,B,C, Eat Healthy.mp4.filepart",309.97
"EP 23_Class 5_Math_দশমিক সংখ্যা দিয়ে ভাগ.mp4",91.06
"EP 23_Eng_Grade_3_Unit_20_Lesson_1-2.mp4",205.31
"EP 23_Eng_Grade_5_Unit_7_Lesson_3-5 D.mp4",416.80
"EP 24, Class 2, Bangla, Lesson 05.mp4",579.60
"EP 24, Class 3, Bangla, Lesson 04.mp4",524.24
"EP 24, Class 4, Bangla, Lesson 10.mp4",445.45
"EP 24, Class 4, English, U -15 L-1-3 (A), Sagar and his family.mp4",908.61
"EP 24, Class 5, Bangla, Lesson 4.mp4",424.38
"EP 24, Class 5, English, Unit 6, Lesson 4-5 (First 3 para), Eat healthy.mp4",931.41
"EP 24, Pre-Primary.mp4",1119.82
"EP 24_Class 3 Math_সময়ের যোগ ও বিয়োগ.mp4",177.56
"EP 24_Class 4_Math_স্তম্ভলেখার সাহায্যে প্রদর্শন.mp4",367.36
"EP 24_Class 5_Math_গড়.mp4",114.74
"EP 24_Eng_Grade_3_Unit_21_Lesson_1-2.mp4",115.75
"EP 24_Eng_Grade_5_Unit_8_Lesson_1-2 A.mp4",115.68
"EP 25, Class 2, Bangla, Lesson 06.mp4",595.90
"EP 25, Class 3, Bangla, Lesson 05.mp4",634.91
"EP 25, Class 4, Bangla, Lesson 5.mp4",333.85
"EP 25, Class 4, English, English For Today, U-15, L-4-5.mp4",398.92
"EP 25, Class 5, Bangla, Lesson 4.mp4",424.38
"EP 25, Class 5, English, U -6 L-4-5, Activity-F, Eat Healthy.mp4",574.42
"EP 25, Pre-Primary.mp4",971.91
"EP 25_Class 3 Math_বিন্দু রেখা তল.mp4",225.58
"EP 25_Class 4_Math_রেখা-1.mp4",223.93
"EP 25_Class 5_Math_রাশির তুলনা.mp4",97.75
"EP 25_Eng_Grade_3_Unit_21_Lesson_3-5.mp4",104.04
"EP 25_Eng_Grade_5_Unit_8_Lesson_3-4 B.mp4",84.35
"EP 26, Class 2, Bangla, Lesson 12.mp4",447.09
"EP 26, Class 3, Bangla, Lesson 06.mp4",482.18
"EP 26, Class 4, Bangla, Lesson 7.mp4",211.97
"EP 26, Class 4, English, English For Today, U-15, L-4-5.mp4",424.01
"EP 26, Class 5, Bangla, Lesson 1.mp4",326.24
"EP 26, Class 5, English, U -6 L-6-7,Activity-G,H, Eat Healthy.mp4",1211.87
"EP 26, Pre-Primary.mp4",1102.99
"EP 26_Class 4_Math_কোণ-1.mp4",398.55
"EP 26_Class 5_Math_সরল মুনাফা.mp4",108.26
"EP 26_Eng_Grade_3_Unit_22_Lesson_1-2.mp4",291.25
"EP 26_Eng_Grade_5_Unit_8_Lesson_3-4 C.mp4",140.25
"EP 27, Class 2, Bangla, Lesson 13.mp4",391.14
"EP 27, Class 3, Bangla, Lesson 07.mp4",659.97
"EP 27, Class 4, Bangla, Lesson 5.mp4",449.17
"EP 27, Class 4, English, U -16 L-1-2 (A), Sagar’s week.mp4",1354.00
"EP 27, Class 5, Bangla, Lesson 2.mp4",490.50
"EP 27, Class 5, English, U-6, L-6-7(I,J), Eat Healthy.mp4",519.94
"EP 27, Pre-Primary.mp4",904.95
"EP 27_Class 3 Math_চতুর্ভুজ.mp4",46.97
"EP 27_Class 4_Math_ত্রিভুজ-1.mp4",310.30
"EP 27_Class 5_Math_আয়ত এবং বর্গ-২.mp4",104.06
"EP 27_Eng_Grade_3_Unit_23_Lesson_1-3.mp4",146.98
"EP 27_Eng_Grade_5_Unit_9_Lesson_1-2 A.mp4",128.49
"EP 28, Class 2, Bangla, Lesson 14.mp4",261.38
"EP 28, Class 3, Bangla, Lesson 08.mp4",587.65
"EP 28, Class 4, Bangla, Lesson 6.mp4",290.56
"EP 28, Class 4, English, U -16 L-1-2 (A,B,C), Sagar’s week.mp4",670.26
"EP 28, Class 5, Bangla, Lesson 3.mp4",345.09
"EP 28, Class 5, English, Unit 8 Lesson A  Write to me soon!.mp4",3925.66
"EP 28, Pre-Primary.mp4",641.32
"EP 28_Class 3 Math_কোণ.mp4",231.43
"EP 28_Class 5_Math_আয়ত এবং বর্গ-২.mp4",90.05
"EP 28_Eng_Grade_3_Unit_23_Lesson_4-6.mp4",153.29
"EP 28_Eng_Grade_5_Unit_9_Lesson_3-4 B.mp4",87.73
"EP 29, Class 2, Bangla, Lesson 15.mp4",391.34
"EP 29, Class 3, Bangla, Lesson 09.mp4",545.64
"EP 29, Class 4, Bangla, Lesson 7.mp4",557.38
"EP 29, Class 4, English, U -16 L-3-5, at in.mp4",593.00
"EP 29, Class 5, Bangla, Lesson 6.mp4",488.52
"EP 29, Class 5, English, Unit No 8, Lesson A (2 nd paragraph), Write to me soon!.mp4",992.66
"EP 29, Pre-Primary.mp4",1368.00
"EP 29_Class 5_Math_বৃত্ত.mp4",84.27
"EP 29_Eng_Grade_3_Unit_24_Lesson_1-2.mp4",466.16
"EP 29_Eng_Grade_5_Unit_9_Lesson_3-4 C.mp4",69.60
"EP 2_Class 3 Math_স্থানীয় মান.mp4",134.29
"EP 2_Class 5_Math_ভাগের ব্যবহার.mp4",168.94
"EP 2_Eng_Grade_3_Unit_1_Lesson_4-6.mp4",161.28
"EP 2_Eng_Grade_5_Unit_1_Lesson_4-5 EF.mp4",169.71
"EP 3, Class 4, English, U-2 , L-1-2 , Greetings.mp4",1172.48
"EP 3, Class 5, Bangla, Lesson 3.mp4",650.23
"EP 3, Class 5, English, Hello! U-1, L 2-3, Activity-C,D.mp4",638.99
"EP 3, Pre-Primary.mp4",479.48
"EP 30, Class 2, Bangla, Lesson 01.mp4",521.18
"EP 30, Class 3, Bangla, Lesson 10.mp4",452.30
"EP 30, Class 4, Bangla, Lesson 13.mp4",382.22
"EP 30, Class 4, English, U -17 L-1-2, In the park.mp4",3223.63
"EP 30, Class 5, Bangla, Lesson 8.mp4",350.62
"EP 30, Class 5, English, Unit No 8, Lesson 3-4,Activity-B,C Write to me soon!.mp4",2538.10
"EP 30, Pre-Primary.mp4",809.58
"EP 30_Class 5_Math_দৈর্ঘ্য.mp4",304.65
"EP 30_Eng_Grade_3_Unit_25_Lesson_1-3.mp4",206.40
"EP 30_Eng_Grade_5_Unit_9_Lesson_3-4 D.mp4",137.20
"EP 31, Class 2, Bangla, Lesson 02.mp4",401.12
"EP 31, Class 3, Bangla, Lesson 11.mp4",496.89
"EP 31, Class 4, Bangla, Lesson 14.mp4",397.64
"EP 31, Class 4, English, U -18 L-1-2, Clap your hands.mp4",700.99
"EP 31, Class 5, Bangla, Lesson 10.mp4",324.10
"EP 31, Class 5, English, U -8 L-3-4,Activity-D,E, Write to Me Soon!.mp4",547.49
"EP 31, Pre-Primary.mp4",870.16
"EP 31_Class 5_Math_আয়ত ক্ষেত্রফল-১.mp4",321.43
"EP 31_Eng_Grade_3_Unit_25_Lesson_4-5.mp4",126.52
"EP 31_Eng_Grade_5_Unit_9_Lesson_5-6 F.mp4",98.00
"EP 32, Class 2, Bangla, Lesson 03.mp4",516.60
"EP 32, Class 3, Bangla, Lesson 12.mp4",559.21
"EP 32, Class 4, Bangla, Lesson 8.mp4",1191.19
"EP 32, Class 4, English, U -18 L-3-4, Clap your hands.mp4",1378.94
"EP 32, Class 5, Bangla, Lesson 1.mp4",451.06
"EP 32, Class 5, English, U-8 , L-5-6 ,Activity-F,G, Write to Me Soon!.mp4",727.22
"EP 32, Pre-Primary.mp4",529.92
"EP 32_Class 5_Math_ত্রিভূজের ক্ষেত্রফল-৩.mp4",62.43
"EP 32_Eng_Grade_3_Unit_26_Lesson_1-2.mp4",189.75
